time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
0,2025-12-13 09:28:13.740879,45.664023992813085,45.664300908460085,202.0,88,25.566427866279597,79.99377036358034,95.9925244362964,1.9660992147473266,84.9940637101004,8.499406371010041,17.132441089868866,89.99514386590423,89.99514386590423,0.999332737564296,74.99691563969887,7.499691563969887
1,2025-12-13 09:28:14.740879,52.75509358252905,52.75509358252905,201.98676623718055,88,28.666805536487452,79.98678527451199,95.98414232941438,2.189816432168095,84.98745194551053,8.498745194551052,19.907637330328345,89.9895011115589,89.9895011115589,1.99083428354516,74.99077108944101,7.4990771089441015
2,2025-12-13 09:28:15.740879,52.77044878247038,52.77044878247038,201.97146574446845,88,28.675122409167113,79.97979815891522,95.97575779069825,2.190443428901428,84.98083828781456,8.498083828781457,19.913483958555187,89.98385670000602,89.98385670000602,1.9913989858466588,74.98462479627482,7.498462479627481
3,2025-12-13 09:28:16.740879,58.39395863993215,58.390404181849554,201.9561607991132,88,32.51919958570478,79.97187437733974,95.9662492528077,2.8798061042514846,84.97214322107467,8.497214322107467,19.999999999978325,89.97818776576565,89.97818776576565,2.991398491914956,74.97539208488001,7.497539208488001
4,2025-12-13 09:28:17.740879,61.63148089726399,61.607830002713825,201.93919054916884,88,35.938002054915735,79.96311755422695,95.95574106507235,2.7076766652613435,84.96396786882448,8.496396786882448,19.962151282540834,89.97252955961982,89.97252955961982,2.999999999995911,74.96613282562076,7.496613282562076
5,2025-12-13 09:28:18.740879,65.12864375770675,65.14097018670067,201.92128069413667,88,38.718833918215026,79.9536831405042,95.94441976860503,3.4487289299493997,84.95355503992971,8.49535550399297,19.97340733853628,89.96686816298191,89.96686816298191,2.999999999999973,74.95687356636151,7.49568735663615
6,2025-12-13 09:28:19.740879,69.89251218148856,69.91752464566768,201.90233079221605,88,42.301551210353146,79.9433757449851,95.93205089398212,4.663593745138196,84.93947414094076,8.493947414094077,19.952379690176375,89.9612127265618,89.9612127265618,2.9999999999999734,74.94761430710226,7.494761430710226
7,2025-12-13 09:28:20.740879,67.22474304913413,67.21387178325631,201.8819724653482,88,41.301551210353146,79.93331201418336,95.91997441702003,3.2347924195348967,84.92970725561608,8.492970725561609,19.99943134180094,89.95554395350572,89.95554395350572,2.6780968115673267,74.93934857620236,7.493934857620236
8,2025-12-13 09:28:21.740879,75.81823556238216,75.8157437710153,201.8624239537076,88,48.98294491744853,79.92137659875513,95.90565191850617,3.920336367288227,84.91787049122209,8.491787049122209,20.0,89.94987501926536,89.94987501926536,2.912462486278551,74.93035949445459,7.493035949445459
9,2025-12-13 09:28:22.740879,76.56784256930914,76.56446520047412,201.8403499363392,88,49.6537904390347,79.9092777219425,95.89113326633101,3.9750493349269775,84.90586853066978,8.490586853066977,20.0,89.944206085025,89.944206085025,2.9356254265124258,74.92129892215054,7.492129892215054
